date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:07	272/272	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:07%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/chrono.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/chrono.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css)
11:48:07	277/277	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:08%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/tablet-dots.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/tablet-dots.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css)
11:48:08	269/269	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:08%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/cog.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/cog.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css)
11:48:08	271/271	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:08%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/plane.svg	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/images/illustrations/icons/landing-v1/plane.svg	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/core_blue.css)
11:48:09	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont5b62.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:09	66624/66624	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont5b62.html	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:10	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfontd41d.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:10	90412/90412	---M--	200	added ('OK')	application/x-font-woff	date:Sun,%2024%20Mar%202019%2019:34:04%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/fontawesome-webfont5b62.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:11	251/251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-icons.eot?thkwh4	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-iconsc05f.eot	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
11:48:11	252/252	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2024%20May%202019%2016:48:11%20GMT	https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-icons.woff?thkwh4	C:/My%20Web%20Sites/EXACER%20LANDING/bulkitv2.cssninja.io/landing-kits/kit-6/assets/fonts/simple-line-iconsc05f.woff	(from https://bulkitv2.cssninja.io/landing-kits/kit-6/assets/css/icons.min.css)
